Borough,Site Location,Latitude,Longitude,Location Point,DSNY District,DSNY Zone,BinType
Brooklyn,"6753 4th Avenue, Brooklyn, NY 11220",40.635514,-74.022767,POINT (-74.022767 40.635514),BKS10,BKS,FoodScrap
Manhattan,E 47th St & 2nd Ave,40.752606,-73.969036,POINT (-73.969036 40.752606),MN06,MN,FoodScrap
Manhattan,Pier 84 at W. 44th St. near dog park,40.76346,-74.00025,POINT (-74.00025 40.76346),MN04,MN,FoodScrap
Manhattan,127 East 58th Street,40.76198,-73.9693,POINT (-73.9693 40.76198),MN05,MN,FoodScrap
Manhattan,Greenwich St. & Duane St,40.717424,-74.010793,POINT (-74.010793 40.717424),MN01,MN,FoodScrap
Staten Island,St. Marks Pl and Hyatt St,40.641967,-74.077928,POINT (-74.077928 40.641967),SI01,SI,FoodScrap
Manhattan,"521 W 126th St, New York, NY 10027",40.8149687,-73.9560903,POINT (-73.9560903 40.8149687),MN09,MN,FoodScrap
Brooklyn,"1107 Bergen Street, Brooklyn, NY 11216",40.67629,-73.94925,POINT (-73.94925 40.67629),BKN08,BKN,FoodScrap
Brooklyn,"Prospect Park, West of the entrance on Parkside Av (& Ocean Av)",40.654917,-73.962083,POINT (-73.962083 40.654917),,BKS,FoodScrap
Brooklyn,"1309 Dekalb Ave, Brooklyn, NY 11221 (Know Waste Lands Community Garden)",40.697694,-73.925806,POINT (-73.925806 40.697694),BKN04,BKN,FoodScrap
Brooklyn,Washington Park and Myrtle Ave,40.69288,-73.97391,POINT (-73.97391 40.69288),BKN02,BKN,FoodScrap
Manhattan,,40.85571567,-73.92743781,POINT (-73.92743781 40.85571567),MN12,MN,FoodScrap
Bronx,,40.81994461,-73.92850801,POINT (-73.92850801 40.81994461),BX04,BX,FoodScrap
Bronx,,40.87534011,-73.87542714,POINT (-73.87542714 40.87534011),BX07,BX,FoodScrap
Brooklyn,,40.69656438,-73.91427923,POINT (-73.91427923 40.69656438),BKN04,BKN,FoodScrap
Manhattan,,40.71878668,-74.01055042,POINT (-74.01055042 40.71878668),MN01,MN,FoodScrap
Manhattan,,40.7248741,-74.00472,POINT (-74.00472 40.7248741),MN02,MN,FoodScrap
Manhattan,,40.76044172,-73.99506115,POINT (-73.99506115 40.76044172),MN04,MN,FoodScrap
Brooklyn,,40.68065837,-73.93454969,POINT (-73.93454969 40.68065837),BKN03,BKN,FoodScrap
Brooklyn,,40.6870313,-73.91374111,POINT (-73.91374111 40.6870313),BKN04,BKN,FoodScrap
Manhattan,,40.74272368,-73.99655276,POINT (-73.99655276 40.74272368),MN04,MN,FoodScrap
Staten Island,460w Brielle Avenue,40.592723,-74.135113,POINT (-74.135113 40.592723),SI02,SI,FoodScrap
Queens,,40.75290526,-73.94352235,POINT (-73.94352235 40.75290526),QW01,QW,FoodScrap
Brooklyn,"514 Rockaway Avenue, Brooklyn, NY 11212",40.6674207,-73.9102833,POINT (-73.9102833 40.6674207),BKN16,BKN,FoodScrap
Brooklyn,,40.69608852,-73.92145414,POINT (-73.92145414 40.69608852),BKN04,BKN,FoodScrap
Manhattan,,40.70507539,-74.01322458,POINT (-74.01322458 40.70507539),MN01,MN,FoodScrap
Brooklyn,,40.67613038,-73.93318009,POINT (-73.93318009 40.67613038),BKN08,BKN,FoodScrap
Manhattan,,40.78331643,-73.98062197,POINT (-73.98062197 40.78331643),MN07,MN,FoodScrap
Brooklyn,,40.69236338,-73.93096961,POINT (-73.93096961 40.69236338),BKN03,BKN,FoodScrap
Queens,,40.76149921,-73.91796863,POINT (-73.91796863 40.76149921),QW01,QW,FoodScrap
Bronx,,40.85323679,-73.89310654,POINT (-73.89310654 40.85323679),BX06,BX,FoodScrap
Manhattan,,40.74913401,-73.97793704,POINT (-73.97793704 40.74913401),MN06,MN,FoodScrap
Manhattan,,40.78160945,-73.94892746,POINT (-73.94892746 40.78160945),MN08,MN,FoodScrap
Manhattan,674 East 9th Street,40.72534977,-73.97862785,POINT (-73.97862785 40.72534977),MN03,MN,FoodScrap
Queens,"150-04 115 Dr, Jamaica, NY, 11434",40.683367,-73.7922279,POINT (-73.7922279 40.683367),QE12,QE,FoodScrap
Brooklyn,,40.70496647,-73.91751361,POINT (-73.91751361 40.70496647),BKN04,BKN,FoodScrap
Bronx,,40.8591294,-73.90127487,POINT (-73.90127487 40.8591294),BX05,BX,FoodScrap
Manhattan,,40.77023256,-73.99164147,POINT (-73.99164147 40.77023256),MN04,MN,FoodScrap
Staten Island,,40.63714951,-74.11651209,POINT (-74.11651209 40.63714951),SI01,SI,FoodScrap
Brooklyn,,40.68381262,-73.92018981,POINT (-73.92018981 40.68381262),BKN03,BKN,FoodScrap
Manhattan,,40.76405417,-73.96450973,POINT (-73.96450973 40.76405417),MN08,MN,FoodScrap
Manhattan,,40.80317005,-73.94863548,POINT (-73.94863548 40.80317005),MN10,MN,FoodScrap
Queens,246-02 Northern Blvd; Enter the path to the right of the school yard to the student garden,40.7657836,-73.7408196,POINT (-73.7408196 40.7657836),QE11,QE,FoodScrap
Staten Island,,40.6413779,-74.08640362,POINT (-74.08640362 40.6413779),SI01,SI,FoodScrap
Brooklyn,"Fulton St, between Logan and Richmond Sts",40.68218,-73.87687,POINT (-73.87687 40.68218),BKN05,BKN,FoodScrap
Bronx,,40.84505235,-73.82693077,POINT (-73.82693077 40.84505235),BX10,BX,FoodScrap
Manhattan,,40.76909824,-73.94326508,POINT (-73.94326508 40.76909824),MN08,MN,FoodScrap
Manhattan,,40.80229054,-73.93677324,POINT (-73.93677324 40.80229054),MN11,MN,FoodScrap
Brooklyn,,40.68219458,-73.95365641,POINT (-73.95365641 40.68219458),BKN03,BKN,FoodScrap
Brooklyn,,40.68161005,-73.9039715,POINT (-73.9039715 40.68161005),BKN04,BKN,FoodScrap
Queens,46th Avenue and 5th Street,40.74777,-73.95486,POINT (-73.95486 40.74777),QW02,QW,FoodScrap
Manhattan,,40.71904232,-74.00695324,POINT (-74.00695324 40.71904232),MN01,MN,FoodScrap
Bronx,1490 Sheridan Blvd,40.83285272,-73.88308033,POINT (-73.88308033 40.83285272),BX03,BX,FoodScrap
Manhattan,,40.79160725,-73.9388486,POINT (-73.9388486 40.79160725),MN11,MN,FoodScrap
Manhattan,,40.78193046,-73.97196532,POINT (-73.97196532 40.78193046),MN07,MN,FoodScrap
Brooklyn,,40.66977726,-73.93377151,POINT (-73.93377151 40.66977726),BKN08,BKN,FoodScrap
Manhattan,66th St and Columbus Ave.,40.773404,-73.981848,POINT (-73.981848 40.773404),MN07,MN,FoodScrap
Brooklyn,"Russell Street &, Nassau Ave, Brooklyn, NY 11222",40.724493,-73.94375,POINT (-73.94375 40.724493),BKN01,BKN,FoodScrap
Brooklyn,,40.67568845,-73.93871281,POINT (-73.93871281 40.67568845),BKN08,BKN,FoodScrap
Brooklyn,McDonald Ave & Albemarle Rd,40.64496,-73.98016,POINT (-73.98016 40.64496),BKS12,BKS,FoodScrap
Manhattan,,40.71327374,-73.99222919,POINT (-73.99222919 40.71327374),MN03,MN,FoodScrap
Manhattan,,40.72193086,-73.97755169,POINT (-73.97755169 40.72193086),MN03,MN,FoodScrap
Manhattan,,40.72948122,-74.00212242,POINT (-74.00212242 40.72948122),MN02,MN,FoodScrap
Queens,,40.76737357,-73.92958358,POINT (-73.92958358 40.76737357),QW01,QW,FoodScrap
Brooklyn,,40.67310418,-73.96755293,POINT (-73.96755293 40.67310418),BKN08,BKN,FoodScrap
Queens,"25-16 McIntosh St, East Elmhurst, NY, 11369",40.7640828,-73.8695398,POINT (-73.8695398 40.7640828),QW03,QW,FoodScrap
Manhattan,"506 West 143rd Street, New York, NY 10031",40.824235,-73.94983,POINT (-73.94983 40.824235),MN09,MN,FoodScrap
Brooklyn,"351 Barbey St, Brooklyn, NY 11207",40.6742335,-73.8878004,POINT (-73.8878004 40.6742335),BKN05,BKN,FoodScrap
Brooklyn,Newkirk Ave & Nostrand Ave,40.6400446,-73.9482956,POINT (-73.9482956 40.6400446),BKN17,BKN,FoodScrap
Queens,,40.76808088,-73.93193347,POINT (-73.93193347 40.76808088),QW01,QW,FoodScrap
Manhattan,,40.77622161,-73.9761931,POINT (-73.9761931 40.77622161),MN07,MN,FoodScrap
Staten Island,,40.6337035,-74.14217077,POINT (-74.14217077 40.6337035),SI01,SI,FoodScrap
Brooklyn,,40.68175218,-73.94362126,POINT (-73.94362126 40.68175218),BKN03,BKN,FoodScrap
Bronx,,40.85214985,-73.88634603,POINT (-73.88634603 40.85214985),BX06,BX,FoodScrap
Queens,,40.76236315,-73.91936067,POINT (-73.91936067 40.76236315),QW01,QW,FoodScrap
Bronx,,40.84901271,-73.90952233,POINT (-73.90952233 40.84901271),BX05,BX,FoodScrap
Manhattan,Pier 25 at N. Moore St.,40.7202214,-74.0128434,POINT (-74.0128434 40.7202214),MN01,MN,FoodScrap
Manhattan,,40.83161372,-73.94291718,POINT (-73.94291718 40.83161372),MN12,MN,FoodScrap
Brooklyn,"2 2nd Ave, Brooklyn, NY 11215",40.67541,-73.99128,POINT (-73.99128 40.67541),BKS06,BKS,FoodScrap
Manhattan,,40.81357603,-73.94525472,POINT (-73.94525472 40.81357603),MN10,MN,FoodScrap
Bronx,,40.84212899,-73.85504935,POINT (-73.85504935 40.84212899),BX09,BX,FoodScrap
Brooklyn,,40.69517863,-73.91169753,POINT (-73.91169753 40.69517863),BKN04,BKN,FoodScrap
Manhattan,,40.79837079,-73.96888428,POINT (-73.96888428 40.79837079),MN07,MN,FoodScrap
Queens,,40.75444697,-73.9091628,POINT (-73.9091628 40.75444697),QW01,QW,FoodScrap
Manhattan,,40.81308249,-73.93777002,POINT (-73.93777002 40.81308249),MN10,MN,FoodScrap
Brooklyn,"2840 W 12th Street, Brooklyn, NY 11224",40.57825446,-73.97970298,POINT (-73.97970298 40.57825446),BKS13,BKS,FoodScrap
Brooklyn,,40.67049108,-73.94772705,POINT (-73.94772705 40.67049108),BKN08,BKN,FoodScrap
Bronx,"2222 Bronx Park East, Bronx, NY, 10462",40.8504801,-73.8679953,POINT (-73.8679953 40.8504801),BX11,BX,FoodScrap
Bronx,,40.87283555,-73.90491128,POINT (-73.90491128 40.87283555),BX08,BX,FoodScrap
Manhattan,,40.77544608,-73.95359468,POINT (-73.95359468 40.77544608),MN08,MN,FoodScrap
Brooklyn,,40.67112072,-73.93931296,POINT (-73.93931296 40.67112072),BKN08,BKN,FoodScrap
Manhattan,,40.73565255,-74.00171998,POINT (-74.00171998 40.73565255),MN02,MN,FoodScrap
Manhattan,,40.79314192,-73.94825712,POINT (-73.94825712 40.79314192),MN11,MN,FoodScrap
Manhattan,,40.73800402,-73.98096538,POINT (-73.98096538 40.73800402),MN06,MN,FoodScrap
Manhattan,,40.71162586,-73.98504528,POINT (-73.98504528 40.71162586),MN03,MN,FoodScrap
Brooklyn,,40.68014247,-73.96811318,POINT (-73.96811318 40.68014247),BKN08,BKN,FoodScrap
Brooklyn,"237 Maple St, Brooklyn, NY 11225",40.66085,-73.95283,POINT (-73.95283 40.66085),BKN09,BKN,FoodScrap
Manhattan,Pier 51 at Horatio St. near playground,40.738228,-74.0104549,POINT (-74.0104549 40.738228),MN02,MN,FoodScrap
Manhattan,,40.77363842,-73.95970138,POINT (-73.95970138 40.77363842),MN08,MN,FoodScrap
Queens,"35-20 69th Street, Jackson Heights, NY 11372",40.750278,-73.89678,POINT (-73.89678 40.750278),QW02,QW,FoodScrap
Manhattan,,40.75071927,-73.97465123,POINT (-73.97465123 40.75071927),MN06,MN,FoodScrap
Brooklyn,,40.68892887,-73.91690746,POINT (-73.91690746 40.68892887),BKN04,BKN,FoodScrap
Brooklyn,,40.7019656,-73.9321766,POINT (-73.9321766 40.7019656),BKN04,BKN,FoodScrap
Manhattan,,40.78911889,-73.96666802,POINT (-73.96666802 40.78911889),MN07,MN,FoodScrap
Manhattan,,40.77432421,-73.98491538,POINT (-73.98491538 40.77432421),MN07,MN,FoodScrap
Manhattan,,40.73464701,-73.99481939,POINT (-73.99481939 40.73464701),MN02,MN,FoodScrap
Staten Island,,40.61356176,-74.11656775,POINT (-74.11656775 40.61356176),SI01,SI,FoodScrap
Manhattan,,40.7424067,-74.00077857,POINT (-74.00077857 40.7424067),MN04,MN,FoodScrap
Manhattan,,40.76481457,-73.98776125,POINT (-73.98776125 40.76481457),MN04,MN,FoodScrap
Brooklyn,,40.69385789,-73.92586906,POINT (-73.92586906 40.69385789),BKN04,BKN,FoodScrap
Bronx,E Fordham Rd between Webster Ave & Third Ave,40.8611153,-73.8900366,POINT (-73.8900366 40.8611153),BX06,BX,FoodScrap
Manhattan,"E 17th St & Union Square E, New York, NY",40.73661,-73.9893,POINT (-73.9893 40.73661),MN05,MN,FoodScrap
Bronx,,40.85489479,-73.90380453,POINT (-73.90380453 40.85489479),BX05,BX,FoodScrap
Brooklyn,Decatur St and Lewis Ave,40.68133,-73.93481,POINT (-73.93481 40.68133),BKN03,BKN,FoodScrap
Manhattan,,40.70656567,-74.00674663,POINT (-74.00674663 40.70656567),MN01,MN,FoodScrap
Queens,,40.76499499,-73.92496582,POINT (-73.92496582 40.76499499),QW01,QW,FoodScrap
Brooklyn,7th Ave & 44th St,40.646152,-74.002213,POINT (-74.002213 40.646152),BKS07,BKS,FoodScrap
Manhattan,457 West 162nd Street,40.83593121,-73.93919065,POINT (-73.93919065 40.83593121),MN12,MN,FoodScrap
Staten Island,208 Bay Street,40.63692705,-74.07670907,POINT (-74.07670907 40.63692705),SI01,SI,FoodScrap
Brooklyn,,40.6979632,-73.91719682,POINT (-73.91719682 40.6979632),BKN04,BKN,FoodScrap
Manhattan,Along gates on the southside of 119th Street between Pleasant Avenue and FDR Drive,40.796764,-73.931341,POINT (-73.931341 40.796764),MN11,MN,FoodScrap
Manhattan,,40.80545915,-73.96220095,POINT (-73.96220095 40.80545915),MN09,MN,FoodScrap
Manhattan,,40.78010941,-73.94685208,POINT (-73.94685208 40.78010941),MN08,MN,FoodScrap
Brooklyn,Cortelyou Rd and Rugby Rd,40.641194,-73.965472,POINT (-73.965472 40.641194),BKS14,BKS,FoodScrap
Manhattan,,40.73752862,-73.99693615,POINT (-73.99693615 40.73752862),MN04,MN,FoodScrap
Manhattan,,40.71917142,-73.98495497,POINT (-73.98495497 40.71917142),MN03,MN,FoodScrap
Brooklyn,,40.7027688,-73.92527696,POINT (-73.92527696 40.7027688),BKN04,BKN,FoodScrap
Bronx,,40.83726017,-73.9136583,POINT (-73.9136583 40.83726017),BX04,BX,FoodScrap
Manhattan,,40.80557429,-73.96601334,POINT (-73.96601334 40.80557429),MN09,MN,FoodScrap
Brooklyn,1899 Bergen Street,40.67465,-73.91823,POINT (-73.91823 40.67465),BKN16,BKN,FoodScrap
Bronx,,40.83612098,-73.92934956,POINT (-73.92934956 40.83612098),BX04,BX,FoodScrap
Brooklyn,,40.6721089,-73.92796252,POINT (-73.92796252 40.6721089),BKN08,BKN,FoodScrap
Bronx,Tremont Ave between LaFontaine and Arthur Ave (Tremont Park),40.846468,-73.894107,POINT (-73.894107 40.846468),BX06,BX,FoodScrap
Manhattan,,40.75289817,-73.99262429,POINT (-73.99262429 40.75289817),MN05,MN,FoodScrap
Brooklyn,,40.67081709,-73.9532923,POINT (-73.9532923 40.67081709),BKN08,BKN,FoodScrap
Queens,"45-55 Beach Channel Dr, Far Rockaway, NY, 11691",40.59549,-73.77648,POINT (-73.77648 40.59549),QE14,QE,FoodScrap
Manhattan,,40.78586061,-73.95335141,POINT (-73.95335141 40.78586061),MN08,MN,FoodScrap
Brooklyn,,40.68764908,-73.94487351,POINT (-73.94487351 40.68764908),BKN03,BKN,FoodScrap
Brooklyn,,40.68856507,-73.93027022,POINT (-73.93027022 40.68856507),BKN03,BKN,FoodScrap
Manhattan,,40.72799057,-73.97899926,POINT (-73.97899926 40.72799057),MN03,MN,FoodScrap
Bronx,"541 E 139th St, Bronx, NY 10454",40.80796868,-73.917581,POINT (-73.917581 40.80796868),BX01,BX,FoodScrap
Manhattan,Pier 66 at W 26 St,40.752222,-74.008278,POINT (-74.008278 40.752222),MN04,MN,FoodScrap
Manhattan,,40.72615124,-73.98330253,POINT (-73.98330253 40.72615124),MN03,MN,FoodScrap
Manhattan,,40.71976091,-73.97887822,POINT (-73.97887822 40.71976091),MN03,MN,FoodScrap
Manhattan,,40.74160912,-73.9779265,POINT (-73.9779265 40.74160912),MN06,MN,FoodScrap
Manhattan,242 East 124th,40.802223,-73.934723,POINT (-73.934723 40.802223),MN11,MN,FoodScrap
Brooklyn,,40.70378294,-73.92708376,POINT (-73.92708376 40.70378294),BKN04,BKN,FoodScrap
Queens,"117-15 165th St. Queens, New York, 11434",40.6846363,-73.7809824,POINT (-73.7809824 40.6846363),QE12,QE,FoodScrap
Manhattan,,40.7671587,-73.98634963,POINT (-73.98634963 40.7671587),MN04,MN,FoodScrap
Brooklyn,"58 E 18th St, Brooklyn, NY 11226",40.649778,-73.963194,POINT (-73.963194 40.649778),BKS14,BKS,FoodScrap
Staten Island,,40.61258951,-74.06930957,POINT (-74.06930957 40.61258951),SI01,SI,FoodScrap
Bronx,,40.8460035,-73.8987432,POINT (-73.8987432 40.8460035),BX06,BX,FoodScrap
Brooklyn,,40.68085262,-73.91968254,POINT (-73.91968254 40.68085262),BKN03,BKN,FoodScrap
Brooklyn,,40.67876437,-73.96537833,POINT (-73.96537833 40.67876437),BKN08,BKN,FoodScrap
Manhattan,,40.7640456,-73.95855414,POINT (-73.95855414 40.7640456),MN08,MN,FoodScrap
Bronx,"2780 Schurz Ave, The Bronx, NY 10465 (Intersection of Schurz Avenue and Huntington Avenue)",40.8139813,-73.81908033,POINT (-73.81908033 40.8139813),BX10,BX,FoodScrap
Bronx,,40.82371538,-73.88005123,POINT (-73.88005123 40.82371538),BX09,BX,FoodScrap
Brooklyn,"495 Osborn St, Brooklyn, NY 11212",40.65952663,-73.90591,POINT (-73.90591 40.65952663),BKN16,BKN,FoodScrap
Manhattan,,40.80583543,-73.9471316,POINT (-73.9471316 40.80583543),MN10,MN,FoodScrap
Manhattan,,40.758836,-73.96586281,POINT (-73.96586281 40.758836),MN06,MN,FoodScrap
Manhattan,,40.85312543,-73.92903912,POINT (-73.92903912 40.85312543),MN12,MN,FoodScrap
Bronx,,40.84592818,-73.82940911,POINT (-73.82940911 40.84592818),BX10,BX,FoodScrap
Bronx,,40.87214621,-73.88263956,POINT (-73.88263956 40.87214621),BX07,BX,FoodScrap
Manhattan,Several locations throughout Governors Island,40.691403,-74.019696,POINT (-74.019696 40.691403),MN01,MN,FoodScrap
Manhattan,,40.7286517,-73.99090146,POINT (-73.99090146 40.7286517),MN03,MN,FoodScrap
Manhattan,,40.76801235,-73.96423429,POINT (-73.96423429 40.76801235),MN08,MN,FoodScrap
Manhattan,,40.70860458,-74.01084945,POINT (-74.01084945 40.70860458),MN01,MN,FoodScrap
Queens,79th St and Northern Blvd,40.753687,-73.886999,POINT (-73.886999 40.753687),QW03,QW,FoodScrap
Queens,"NE corner of 67 Rd & 108th Street 67-09 108th St, Forest Hills, NY 11375",40.728415,-73.84711,POINT (-73.84711 40.728415),QW06,QW,FoodScrap
Manhattan,,40.79530362,-73.97107264,POINT (-73.97107264 40.79530362),MN07,MN,FoodScrap
Queens,,40.77405482,-73.93176388,POINT (-73.93176388 40.77405482),QW01,QW,FoodScrap
Manhattan,,40.81899415,-73.95624071,POINT (-73.95624071 40.81899415),MN09,MN,FoodScrap
Manhattan,,40.72142262,-73.99473223,POINT (-73.99473223 40.72142262),MN02,MN,FoodScrap
Brooklyn,"199 York St, Brooklyn, NY 11201",40.701501,-73.98263,POINT (-73.98263 40.701501),BKN02,BKN,FoodScrap
Manhattan,,40.82041375,-73.94368663,POINT (-73.94368663 40.82041375),MN10,MN,FoodScrap
Brooklyn,"87-91 Schenectady Ave, Brooklyn, NY 11213",40.67623,-73.93295,POINT (-73.93295 40.67623),BKN08,BKN,FoodScrap
Brooklyn,Franklin Avenue & Eastern Parkway,40.670745,-73.957743,POINT (-73.957743 40.670745),BKN08,BKN,FoodScrap
Manhattan,,40.7767445,-73.94647013,POINT (-73.94647013 40.7767445),MN08,MN,FoodScrap
Queens,"8105 Lefferts Blvd, Kew Gardens, NY 11415",40.70888,-73.82917,POINT (-73.82917 40.70888),QW09,QW,FoodScrap
Bronx,1024 Woodycrest Avenue,40.83316,-73.92728,POINT (-73.92728 40.83316),BX04,BX,FoodScrap
Manhattan,,40.78914316,-73.97035768,POINT (-73.97035768 40.78914316),MN07,MN,FoodScrap
Queens,Skillman Ave between 42nd St. and 43rd St.,40.746948,-73.921208,POINT (-73.921208 40.746948),QW02,QW,FoodScrap
Bronx,"3101 Kingsbridge Terrace, Bronx NY 10463",40.877299,-73.900709,POINT (-73.900709 40.877299),BX08,BX,FoodScrap
Brooklyn,,40.68758323,-73.90656117,POINT (-73.90656117 40.68758323),BKN04,BKN,FoodScrap
Manhattan,,40.73699589,-73.97826863,POINT (-73.97826863 40.73699589),MN06,MN,FoodScrap
Queens,,40.76701706,-73.92599747,POINT (-73.92599747 40.76701706),QW01,QW,FoodScrap
Brooklyn,N 12th St and Driggs Ave,40.71974,-73.953394,POINT (-73.953394 40.71974),BKN01,BKN,FoodScrap
Brooklyn,,40.69237838,-73.92284252,POINT (-73.92284252 40.69237838),BKN04,BKN,FoodScrap
Manhattan,,40.76639459,-73.99037572,POINT (-73.99037572 40.76639459),MN04,MN,FoodScrap
Manhattan,"219 W 122nd St, New York, NY 10027",40.8075392,-73.9506789,POINT (-73.9506789 40.8075392),MN10,MN,FoodScrap
Manhattan,,40.868433,-73.91832768,POINT (-73.91832768 40.868433),MN12,MN,FoodScrap
Queens,"Roosevelt Ave at 103 Street, Queens",40.749728,-73.862513,POINT (-73.862513 40.749728),QW04,QW,FoodScrap
Brooklyn,,40.67617742,-73.96627855,POINT (-73.96627855 40.67617742),BKN08,BKN,FoodScrap
Bronx,"3266 Bainbridge Avenue, Bronx, NY 10467",40.8774032,-73.8794743,POINT (-73.8794743 40.8774032),BX07,BX,FoodScrap
Manhattan,Pier 40 at Houston St. near dog park,40.7298117,-74.0110087,POINT (-74.0110087 40.7298117),MN02,MN,FoodScrap
Queens,,40.76208812,-73.92557334,POINT (-73.92557334 40.76208812),QW01,QW,FoodScrap
Brooklyn,,40.68513799,-73.92664053,POINT (-73.92664053 40.68513799),BKN03,BKN,FoodScrap
Brooklyn,,40.69389144,-73.90959073,POINT (-73.90959073 40.69389144),BKN04,BKN,FoodScrap
Brooklyn,,40.69300171,-73.9556798,POINT (-73.9556798 40.69300171),BKN03,BKN,FoodScrap
Queens,"Northwest corner of Hoyt Avenue North and 21st Street, in a courtyard that’s officially called SITTING AREA",40.77538,-73.92302,POINT (-73.92302 40.77538),QW01,QW,FoodScrap
Brooklyn,,40.70324915,-73.91453684,POINT (-73.91453684 40.70324915),BKN04,BKN,FoodScrap
Manhattan,,40.73776704,-74.00006544,POINT (-74.00006544 40.73776704),MN02,MN,FoodScrap
Manhattan,,40.77779122,-73.95197613,POINT (-73.95197613 40.77779122),MN08,MN,FoodScrap
Manhattan,,40.72946703,-73.97803,POINT (-73.97803 40.72946703),MN06,MN,FoodScrap
Brooklyn,,40.6792579,-73.92542146,POINT (-73.92542146 40.6792579),BKN03,BKN,FoodScrap
Queens,"32-23 36th St, Queens, NY 11106 (inside parking lot)",40.75914,-73.92146,POINT (-73.92146 40.75914),QW01,QW,FoodScrap
Manhattan,W 12th St and 8th Ave,40.737472,-74.005095,POINT (-74.005095 40.737472),MN02,MN,FoodScrap
Manhattan,,40.80348382,-73.96686314,POINT (-73.96686314 40.80348382),MN07,MN,FoodScrap
Manhattan,,40.8121979,-73.95354006,POINT (-73.95354006 40.8121979),MN09,MN,FoodScrap
Queens,"150-03 Jamaica Ave, Jamaica, NY 11432",40.70216,-73.80445,POINT (-73.80445 40.70216),QE12,QE,FoodScrap
Manhattan,,40.76927318,-73.98478296,POINT (-73.98478296 40.76927318),MN07,MN,FoodScrap
Manhattan,145th St & Edgecombe Ave,40.823692,-73.943764,POINT (-73.943764 40.823692),MN10,MN,FoodScrap
Brooklyn,"565 Barbey St, Brooklyn, NY 11207",40.6688541,-73.8857006,POINT (-73.8857006 40.6688541),BKN05,BKN,FoodScrap
Manhattan,,40.83478846,-73.94085858,POINT (-73.94085858 40.83478846),MN12,MN,FoodScrap
Manhattan,,40.78957914,-73.97379657,POINT (-73.97379657 40.78957914),MN07,MN,FoodScrap
Brooklyn,,40.67428152,-73.94742765,POINT (-73.94742765 40.67428152),BKN08,BKN,FoodScrap
Brooklyn,,40.68434297,-73.95393368,POINT (-73.95393368 40.68434297),BKN03,BKN,FoodScrap
Bronx,,40.8553543,-73.89307771,POINT (-73.89307771 40.8553543),BX06,BX,FoodScrap
Manhattan,,40.73287635,-74.00655867,POINT (-74.00655867 40.73287635),MN02,MN,FoodScrap
Brooklyn,"91 Aberdeen St, Brooklyn, 11207",40.6840598,-73.9050492,POINT (-73.9050492 40.6840598),BKN04,BKN,FoodScrap
Manhattan,,40.75544387,-73.97332562,POINT (-73.97332562 40.75544387),MN05,MN,FoodScrap
Bronx,,40.85034468,-73.9153102,POINT (-73.9153102 40.85034468),BX05,BX,FoodScrap
Manhattan,,40.73090907,-73.97406496,POINT (-73.97406496 40.73090907),MN06,MN,FoodScrap
Manhattan,,40.70584703,-74.0170474,POINT (-74.0170474 40.70584703),MN01,MN,FoodScrap
Brooklyn,Fort Hamilton Pkwy b/t 66 & 67 Sts,40.62988,-74.010582,POINT (-74.010582 40.62988),BKS10,BKS,FoodScrap
Queens,,40.7568246,-73.94436523,POINT (-73.94436523 40.7568246),QW01,QW,FoodScrap
Manhattan,,40.82035708,-73.94025329,POINT (-73.94025329 40.82035708),MN10,MN,FoodScrap
Bronx,Westchester Ave and White Plains Rd.,40.83343,-73.861655,POINT (-73.861655 40.83343),BX09,BX,FoodScrap
Brooklyn,,40.69043184,-73.91965739,POINT (-73.91965739 40.69043184),BKN04,BKN,FoodScrap
Brooklyn,,40.68574435,-73.93556558,POINT (-73.93556558 40.68574435),BKN03,BKN,FoodScrap
Brooklyn,,40.69877411,-73.92600182,POINT (-73.92600182 40.69877411),BKN04,BKN,FoodScrap
Queens,,40.76223009,-73.91863731,POINT (-73.91863731 40.76223009),QW01,QW,FoodScrap
Manhattan,"543 Main St, New York, NY 10044",40.761833,-73.950139,POINT (-73.950139 40.761833),MN08,MN,FoodScrap
Manhattan,Chelsea Waterside Park near the playground,40.7489842,-74.0071142,POINT (-74.0071142 40.7489842),MN04,MN,FoodScrap
Bronx,,40.87628034,-73.88136584,POINT (-73.88136584 40.87628034),BX07,BX,FoodScrap
Manhattan,699 West 138th Street,40.823225,-73.95617,POINT (-73.95617 40.823225),MN09,MN,FoodScrap
Brooklyn,,40.69389322,-73.94294936,POINT (-73.94294936 40.69389322),BKN03,BKN,FoodScrap
Brooklyn,,40.70421989,-73.91591713,POINT (-73.91591713 40.70421989),BKN04,BKN,FoodScrap
Manhattan,77th Street between Columbus Ave and Central Park West,40.780087,-73.974657,POINT (-73.974657 40.780087),MN07,MN,FoodScrap
Queens,"74-10 88th St, Glendale, NY 11385",40.707547,-73.864884,POINT (-73.864884 40.707547),QW05,QW,FoodScrap
Bronx,"1501 Jerome Ave, Bronx, NY 10452",40.8432747,-73.9162121,POINT (-73.9162121 40.8432747),BX04,BX,FoodScrap
Queens,"Broadway & Vernon Blvd, Queens, NY 11106",40.768389,-73.937,POINT (-73.937 40.768389),QW01,QW,FoodScrap
Staten Island,,40.63241896,-74.15653929,POINT (-74.15653929 40.63241896),SI01,SI,FoodScrap
Brooklyn,,40.68277198,-73.94101046,POINT (-73.94101046 40.68277198),BKN03,BKN,FoodScrap
