Borough,Site Location,Latitude,Longitude,Location Point,DSNY District,DSNY Zone,BinType
Queens,"30-36 41st Street, Astoria, NY",40.762667,-73.915111,POINT (-73.915111 40.762667),QW01,QW,FoodScrap
Queens,"40-19 Gleane Street, Elmhurst, NY, 11373",40.7475361,-73.8820084,POINT (-73.8820084 40.7475361),QW04,QW,FoodScrap
Manhattan,,40.71673502,-73.98896139,POINT (-73.98896139 40.71673502),MN03,MN,FoodScrap
Brooklyn,"1149 Rockaway Avenue, Brooklyn NY, 11236",40.6516767,-73.9059912,POINT (-73.9059912 40.6516767),BKS18,BKS,FoodScrap
Manhattan,,40.77294782,-73.94638708,POINT (-73.94638708 40.77294782),MN08,MN,FoodScrap
Manhattan,,40.79670761,-73.94496605,POINT (-73.94496605 40.79670761),MN11,MN,FoodScrap
Brooklyn,,40.66973149,-73.94219801,POINT (-73.94219801 40.66973149),BKN08,BKN,FoodScrap
Bronx,"Gate 8: Bedford Park Blvd West & Paul Ave Bronx, NY 10468",40.873838,-73.895344,POINT (-73.895344 40.873838),BX07,BX,FoodScrap
Manhattan,,40.73121274,-74.00773183,POINT (-74.00773183 40.73121274),MN02,MN,FoodScrap
Brooklyn,,40.67463802,-73.92219376,POINT (-73.92219376 40.67463802),BKN08,BKN,FoodScrap
Manhattan,,40.77125669,-73.95030766,POINT (-73.95030766 40.77125669),MN08,MN,FoodScrap
Manhattan,,40.72624754,-73.97435929,POINT (-73.97435929 40.72624754),MN03,MN,FoodScrap
Brooklyn,"337 Van Siclen Ave, Brooklyn, NY 11207",40.671653,-73.889806,POINT (-73.889806 40.671653),BKN05,BKN,FoodScrap
Brooklyn,"103 Otsego St, Brooklyn, NY 11231",40.6726299,-74.0103773,POINT (-74.0103773 40.6726299),BKS06,BKS,FoodScrap
Manhattan,,40.80984148,-73.94765664,POINT (-73.94765664 40.80984148),MN10,MN,FoodScrap
Manhattan,,40.77844967,-73.98593115,POINT (-73.98593115 40.77844967),MN07,MN,FoodScrap
Manhattan,,40.78693626,-73.97570673,POINT (-73.97570673 40.78693626),MN07,MN,FoodScrap
Manhattan,,40.72958971,-74.00684701,POINT (-74.00684701 40.72958971),MN02,MN,FoodScrap
Brooklyn,Flatbush Ave & Prospect Park W (Prospect Park entrance),40.671899,-73.969673,POINT (-73.969673 40.671899),,BKS,FoodScrap
Brooklyn,"5816 Clarendon Rd, Brooklyn, NY 11203",40.64451,-73.92038,POINT (-73.92038 40.64451),BKN17,BKN,FoodScrap
Queens,,40.76387665,-73.92266314,POINT (-73.92266314 40.76387665),QW01,QW,FoodScrap
Staten Island,"Staten Island Mall, Marsh Ave & Ring Rd, Staten Island, NY 10314",40.583757,-74.161931,POINT (-74.161931 40.583757),SI02,SI,FoodScrap
Brooklyn,,40.6789777,-73.93855054,POINT (-73.93855054 40.6789777),BKN03,BKN,FoodScrap
Brooklyn,,40.6932882,-73.90436713,POINT (-73.90436713 40.6932882),BKN04,BKN,FoodScrap
Bronx,New Settlement Community Center 1501 Jerome Ave.,40.840005,-73.916636,POINT (-73.916636 40.840005),BX04,BX,FoodScrap
Manhattan,75 Battery Place,40.7067584,-74.0171557,POINT (-74.0171557 40.7067584),MN01,MN,FoodScrap
Brooklyn,,40.68415382,-73.90844576,POINT (-73.90844576 40.68415382),BKN04,BKN,FoodScrap
Queens,,40.76122012,-73.93532887,POINT (-73.93532887 40.76122012),QW01,QW,FoodScrap
Manhattan,,40.84608111,-73.94016188,POINT (-73.94016188 40.84608111),MN12,MN,FoodScrap
Bronx,,40.81799952,-73.85720618,POINT (-73.85720618 40.81799952),BX09,BX,FoodScrap
Queens,Adjacent to 41-38 69th Street and Woodside Avenue,40.74268,-73.89566,POINT (-73.89566 40.74268),QW02,QW,FoodScrap
Manhattan,,40.71256506,-74.00756553,POINT (-74.00756553 40.71256506),MN01,MN,FoodScrap
Manhattan,,40.79141162,-73.94473729,POINT (-73.94473729 40.79141162),MN11,MN,FoodScrap
Queens,"Parking Garden at QBG 42-80 Crommelin Street 42-80 Crommelin Avenue, Flushing, NY 11355",40.75159,-73.82981,POINT (-73.82981 40.75159),QE07,QE,FoodScrap
Bronx,"757 Melrose Ave Bronx, NY 10451",40.8215402,-73.9155499,POINT (-73.9155499 40.8215402),BX01,BX,FoodScrap
Manhattan,,40.78189489,-73.97906582,POINT (-73.97906582 40.78189489),MN07,MN,FoodScrap
Staten Island,,40.64305723,-74.07695856,POINT (-74.07695856 40.64305723),SI01,SI,FoodScrap
Manhattan,,40.72642093,-73.9943678,POINT (-73.9943678 40.72642093),MN02,MN,FoodScrap
Brooklyn,Park Place & Carlton Ave,40.67741,-73.972226,POINT (-73.972226 40.67741),BKN08,BKN,FoodScrap
Queens,,40.76668263,-73.92875042,POINT (-73.92875042 40.76668263),QW01,QW,FoodScrap
